Class,ALT,L8 NDWI med,L8 NIR mean,L8 Temp max,L8 Temp mean,L8 Temp min,TPI,Elevation,Slope
Shallow,0.0427778,0.363064042,0.333393929,301.2146847,278.2174788,162.1935572,5.786911,140.43582,11.44052
Shallow,0.0427869,0.290113827,0.350038015,301.0882179,279.1134658,162.7233503,2.6206055,136.5728,4.492282
Shallow,0.0427869,0.152359947,0.311653776,303.0467434,281.1091237,177.0038379,2.0055084,136.01324,1.9724774
Shallow,0.0427941,0.30519231,0.340125074,303.5321022,279.2271652,150.0014799,-0.34854126,129.883,9.3384695
Shallow,0.0427941,0.198354638,0.365325918,301.6043389,278.8454876,151.8096124,-1.8756866,129.20627,2.0868864
Shallow,0.0428302,0.220633003,0.320522292,301.5257245,278.9181427,242.8998454,-1.4987497,14.685025,0.8639459
Shallow,0.0428333,0.25577472,0.285370686,302.5784746,286.3833597,229.4123385,0.07836914,137.83232,0.58527654
Shallow,0.0428333,0.038974263,0.355045391,303.152702,278.3138438,232.8064324,-0.9619751,347.7595,1.9528494
Shallow,0.0428571,0.244286907,0.3443225,303.5081761,277.2879232,236.0296252,-0.50302124,86.7642,14.926613
Shallow,0.0428788,0.19492603,0.324976897,305.0873013,281.9468345,217.0527782,-1.8465424,185.99966,1.2819277
Shallow,0.0428814,0.151358203,0.5042225,308.4096168,271.9784952,190.9220153,5.1311035,354.09595,36.366116
Shallow,0.0429032,0.248661428,0.288815885,302.0965338,283.5125487,169.2039162,-0.6934204,137.39763,1.1253098
Shallow,0.0429032,0.137878864,0.340772554,307.1005151,282.354942,244.2875616,-0.5819702,544.4339,0.186505
Shallow,0.0429032,0.262729064,0.46518625,306.4100751,273.6471104,193.0070075,3.808899,465,19.85093
Shallow,0.042931,0.240594101,0.284808824,301.1805045,281.0418322,167.1701943,0.5363312,134.92949,3.1363668
Shallow,0.0429358,0.3140758,0.332685515,303.9422646,279.6741216,150.0014799,-0.15356445,129.68903,6.4816995
Shallow,0.0429508,0.170881868,0.328541538,303.0023091,282.4978175,174.1702993,-3.6399078,136.8004,0.017199274
Shallow,0.0429577,0.278378584,0.325727869,301.44711,276.2765306,234.3582135,1.2069511,21.88035,1.7856492
Shallow,0.0429688,0.224254014,0.425589643,285.1636627,285.1636627,285.1636627,-8.119354,224.20447,37.05007
Shallow,0.0430137,0.179938213,0.395262609,307.6781605,280.9693064,241.1669093,-1.0213013,550.4976,0.9573167
Shallow,0.0430159,-0.009862336,0.261907188,301.0403656,276.9972653,228.4552929,-2.024994,334.39752,1.2495058
Shallow,0.0430189,0.161292703,0.281649808,303.7098393,282.6676142,176.3031438,0.95147705,138.80968,4.62237
Shallow,0.0430263,0.296062939,0.366386071,301.1702504,280.3429989,163.9230753,-2.3041992,132.21704,9.21705
Shallow,0.0430303,0.216412235,0.291233578,304.2430504,287.4094359,226.4625873,0.08255005,141.59787,0.6086663
Shallow,0.0430303,0.18726015,0.327670809,301.4129298,278.9464854,163.7145761,-0.34439087,132.68307,4.0034137
Shallow,0.0430645,0.158669739,0.271801224,301.2078486,281.189203,150.0014799,1.1180267,131.0743,3.5758793
Shallow,0.0430769,-0.071653838,0.330538462,303.5936266,281.7388067,234.0745178,-1.8092041,342.8042,0.78337175
Shallow,0.0430769,0.252399338,0.311275875,301.5462326,280.2059956,239.4578993,-0.36528206,17.806717,0.11626928
Shallow,0.0430827,0.069486313,0.383046115,307.9789462,281.788552,206.3851378,-3.728592,233.01015,12.782286
Shallow,0.0430986,0.310097969,0.315091276,300.8899728,277.4268001,153.6314171,5.5665894,148.37979,11.4389305
Shallow,0.0431035,0.00979007,0.342541484,300.2200408,275.3336508,218.9258532,-1.4978638,334.09744,0.077006
Shallow,0.043125,0.211122446,0.386204323,303.6175527,274.6240557,212.8520316,4.3761444,185.28694,3.788871
Shallow,0.0431343,0.232242464,0.30610101,302.2845249,282.4934003,221.8140801,-0.011550903,185.31865,4.719728
Shallow,0.0431429,0.114937909,0.378562582,308.6454601,275.9515945,211.4301353,-1.9575195,278.50305,3.7745705
Shallow,0.0431507,0.16956957,0.313189286,301.3684956,279.4931676,150.0014799,-0.8459015,128.84375,1.1025201
Shallow,0.0431579,0.359448882,0.366412647,300.7361619,280.0067753,165.0886201,0.7663498,127.82953,5.470527
Shallow,0.0431579,0.192383884,0.365514044,302.7151954,278.6217735,166.0730099,-1.0184937,132.50177,3.120673
Shallow,0.0431884,0.167169246,0.292136071,303.0877596,281.0006539,150.0014799,-0.8024597,129.7047,3.786207
Shallow,0.0431915,0.318132778,0.3279296,303.6995852,283.5327887,201.7810648,5.8502045,154.38788,14.037282
Shallow,0.0432051,0.355113332,0.327029951,304.7386633,287.0697786,233.4387661,0.13278198,141.44518,0.8143865
Shallow,0.0432051,0.274534671,0.285905588,301.1497423,279.8525623,166.8147202,10.991364,145.81012,20.990927
Shallow,0.0432051,0.342945769,0.280586071,302.7015234,280.2651518,150.0014799,-1.3071747,133.57903,27.681755
Shallow,0.0432099,0.211870925,0.294084576,308.5805178,283.4648489,232.6116052,1.8032532,309.27267,4.119096
Shallow,0.0432394,0.316980145,0.319331327,301.9666491,279.4346427,150.0014799,-0.63290405,130.5261,3.1847508
Shallow,0.043253,0.191081465,0.365679044,301.9769031,279.7267993,150.0014799,-0.9032593,128.78749,3.508246
Shallow,0.0433155,0.311726274,0.278738017,305.5726602,284.0067219,234.1189521,3.6737976,191.6148,13.539956
Shallow,0.0433333,0.24705219,0.3199275,303.8533961,286.0173391,221.2740329,-0.15185547,142.36551,1.2484106
Shallow,0.0433503,0.27200887,0.253642845,305.7469792,284.5749383,222.2686767,-0.37231445,197.07945,2.5553114
Shallow,0.0433517,0.278340897,0.353654444,306.1229614,277.167167,216.505895,-6.5279846,196.5294,2.5305834
Shallow,0.0433766,0.22172971,0.337693276,306.4442553,280.8241917,225.8712698,2.1724548,302.27075,2.005519
Shallow,0.043421,0.245172231,0.496917347,293.9890137,273.5903625,245.1799927,-9.503082,260.01053,28.509552
Shallow,0.0434225,0.264886129,0.457284375,304.4788938,273.1985175,150.0014799,-6.121155,105.3633,31.16838
Shallow,0.0434483,0.249938732,0.32083,305.4188493,287.5390831,257.347816,0.35050964,142.82668,0.6550238
Shallow,0.0434524,0.275647315,0.375445588,300.8421205,279.8692503,157.0186749,0.61824036,129.11572,1.564605
Shallow,0.0435211,0.296876647,0.343603824,300.7053997,279.4582837,150.0014799,-2.7849426,126.88139,10.734531
Shallow,0.0435294,0.256606525,0.302662069,303.4842499,281.4494536,214.2944361,1.2081604,185.29211,2.4957924
Shallow,0.0435349,0.316272917,0.348912908,301.7684039,279.8518504,166.0798459,3.5603943,137.71342,6.878243
Shallow,0.0435443,0.235571688,0.317903571,301.9461409,281.3987486,179.7861061,0.38046265,136.37686,15.543784
Shallow,0.0435484,0.248239972,0.439066607,296.8874713,269.1544709,233.3328075,3.5975494,220.92046,31.403957
Shallow,0.0436111,0.149181479,0.377659414,304.2464684,275.1615215,150.0014799,-0.33602905,198.97662,0.79439294
Shallow,0.043625,0.30117203,0.367278088,301.9393049,279.2962293,150.0014799,1.5339203,134.20273,2.284035
Shallow,0.0436408,0.223461078,0.2886525,304.000371,287.1463215,256.4762209,0.28189087,142.741,0.29033256
Shallow,0.0436538,0.21963685,0.36828585,304.9471625,273.1276522,170.2259042,-5.7009125,186.83655,0.89829856
Shallow,0.0436667,0.125853492,0.338721633,303.2825868,280.4986235,150.0014799,-1.3773651,130.50737,0.6201779
Shallow,0.0436818,0.242530821,0.489201562,300.6267852,270.1144869,193.2120887,-5.535187,323.8971,4.716745
Shallow,0.0436866,0.328628447,0.389950765,302.3118691,279.5984984,150.0014799,1.6568756,132.09044,7.4701786
Shallow,0.0436957,0.194960587,0.284616379,307.8490615,286.4734716,249.7837377,-2.9374542,224.26613,1.2124757
Shallow,0.0437179,0.066131998,0.336554397,303.8499781,282.4881781,203.2952477,0.6427002,286.67902,0.7603905
Shallow,0.0437288,0.365174106,0.332648061,301.607757,279.1485753,171.6204564,3.6926575,140.45407,1.7573749
Shallow,0.04375,0.237495399,0.323800588,302.3870655,279.7430851,150.0014799,-2.4165497,129.84306,11.368447
Shallow,0.0437551,0.178290716,0.446664745,308.9394099,272.9313365,208.989669,-1.5614471,219.16063,1.0826156
Shallow,0.0437975,0.27580865,0.346683015,302.2776889,280.560193,150.0014799,-1.8061066,129.28944,11.274614
Shallow,0.0438153,0.259382853,0.26695569,307.2679981,283.8246239,214.0380846,0.42863464,192.5799,1.6853778
Shallow,0.0438155,0.127090931,0.384032128,307.5311856,274.2011999,210.0458372,-0.10592651,338.85376,1.5920769
Shallow,0.0438372,0.243369963,0.342829235,300.1721886,281.8147007,180.4731282,-1.0217743,134.67561,0.5976211
Shallow,0.0438375,0.178918567,0.258711423,305.0873013,283.2891154,234.9768751,37.768677,391.10522,22.662891
Shallow,0.0439063,0.2265389,0.3194816,306.8988519,286.3560732,208.637613,-0.06752014,144.58488,0.49974006
Shallow,0.0439216,0.398076366,0.489162908,302.9236947,271.9810572,204.0916464,-3.7118988,184.7258,9.259351
Shallow,0.0440449,0.356645825,0.431065147,299.8645668,279.1836357,161.3766504,1.6031342,130.75937,6.133969
Shallow,0.044058,0.288453576,0.378948017,306.3451327,282.4240608,227.0744128,-3.6829224,280.77863,2.2112021
Shallow,0.0440873,0.215241748,0.328158033,303.1185218,281.2770094,234.0710998,-1.2528076,434.8736,6.9878907
Shallow,0.0440909,0.305056034,0.321986667,304.0824034,286.5153343,219.3838678,0.438385,142.72763,0.28443396
Shallow,0.044106,0.236415427,0.251702672,308.0233805,285.1303076,215.7641847,-0.9060974,190.81284,2.1406143
Shallow,0.0441176,0.140182245,0.355207976,307.421809,285.5478373,236.2757227,-5.681244,416.70395,1.0166706
Shallow,0.0443396,0.229749574,0.353418871,311.6772439,283.0335747,237.3729071,0.61743164,534.69495,3.7254388
Shallow,0.0443571,0.227111088,0.352060745,306.1092893,279.4872042,229.6447639,2.3854675,209.53413,5.8871493
Shallow,0.0443866,0.148247706,0.3901445,308.2284617,273.9601451,211.0575711,-4.0547333,255.8319,5.341461
Shallow,0.0443868,0.103342549,0.339972812,304.6258686,276.2825786,224.6031844,7.93E-04,342.0339,0.45298845
Shallow,0.0445882,0.245948262,0.346333603,300.7122357,279.0572695,162.6481539,-0.39569092,130.95166,0.7191135
Shallow,0.0446667,0.20248643,0.31878035,302.4383358,278.8089483,223.7760235,11.675735,232.35115,4.904821
Shallow,0.0447423,0.297741712,0.527571875,303.9593547,268.8323632,185.1968318,-16.02829,332.81787,40.24726
Shallow,0.04475,0.236980469,0.305892538,302.9305307,282.1435003,174.460831,-10.917404,135.14966,2.0498543
Shallow,0.0447766,0.157364389,0.372773284,301.8230922,279.0001054,183.7031571,-0.17077637,159.38544,2.1972377
Shallow,0.044824,0.248543677,0.336876029,301.2625369,280.6160877,166.78054,-0.03627014,128.41516,0.62646025
Shallow,0.0448552,0.031289338,0.348561373,317.5904185,284.6865474,231.5861992,0.07142639,178.95807,1.350724
Shallow,0.0448598,0.269886257,0.344069706,301.4095118,279.7814876,150.0014799,0.17660522,130.35794,5.6029763
Shallow,0.0448677,0.201292634,0.35063305,304.7762615,283.2425304,207.2601509,-0.06556702,143.50894,0.63181114
Shallow,0.0449091,0.128126012,0.338440547,303.2176444,277.5906122,172.8441075,1.2340698,196.64789,0.1475982
Shallow,0.0449153,0.295018585,0.351730255,302.3563033,280.4096155,150.0014799,-0.041656494,130.55023,1.0621974
Shallow,0.0449219,0.326642533,0.391842059,298.8459968,279.3920344,164.8561948,-4.3973694,130.12112,1.143943
Shallow,0.0449333,0.237562371,0.36016125,307.5038415,275.4039852,159.1515194,-0.40882874,197.99237,0.5802291
Shallow,0.0449363,0.178602775,0.318623346,302.8211541,283.110537,176.8295188,-0.9060669,132.99654,1.3967993
Shallow,0.0449444,0.284732628,0.32405375,306.8920159,280.8186757,215.480489,-0.7657623,182.73337,5.2701106
Shallow,0.0449485,0.079910089,0.279357551,301.9085427,280.9662644,150.0014799,-1.1160278,128.85957,1.5528094
Shallow,0.044963,0.15425004,0.363073923,306.4681814,281.1968665,228.1613432,-1.539093,216.02869,6.3932867
Shallow,0.045,0.198125345,0.335760612,308.9804261,282.8219005,224.7945935,-0.43862915,293.78445,3.7332451
Shallow,0.045,0.188597256,0.464860765,304.9403265,272.3463668,202.2971859,-0.5403595,128.3184,3.6722503
Shallow,0.045,0.271271858,0.477002674,293.295929,272.6851196,239.0093231,2.716095,194.56345,29.74984
Shallow,0.0450273,0.174060546,0.362105851,304.7625894,282.9754754,243.9731037,-4.0175476,399.95984,3.8174493
Shallow,0.0450413,0.223318818,0.517412143,299.5159287,268.0270126,223.174452,5.037018,462.6585,18.233751
Shallow,0.0450719,0.231635142,0.323088163,300.9104809,280.5443133,150.0014799,-2.0999603,130.85916,0.8374355
Shallow,0.045082,0.268856313,0.449378452,285.9566434,285.9566434,285.9566434,5.4552917,301.1006,41.72133
Shallow,0.0451052,-0.074887997,0.326001127,319.0704211,288.7992297,235.0281454,1.7900085,182.29901,10.342953
Shallow,0.0451244,0.249943453,0.380603456,301.1189801,279.9967223,150.0014799,1.4892349,129.14772,4.9345427
Shallow,0.0451786,0.245177153,0.3159319,303.1390299,279.5163417,221.4210078,3.5181732,230.26639,20.466501
Shallow,0.0451802,0.26072356,0.285327857,303.7611096,281.1430249,150.0014799,1.8023834,134.5353,22.916634
Shallow,0.0452941,0.283597747,0.351465918,301.5393966,277.3539753,150.0014799,4.704895,143.02719,4.7234836
Shallow,0.0453276,0.194232981,0.321881724,308.3139122,283.0767847,249.995655,-2.3898315,211.58557,26.733568
Shallow,0.0453527,0.13449511,0.338966484,304.3797712,276.3207109,226.0216627,0.049224854,342.26837,0.32281545
Shallow,0.0453693,0.193929818,0.498571837,305.4701196,270.7202263,204.9222252,-2.5741348,127.66215,2.6012106
Shallow,0.0453869,0.12460169,0.36522931,304.1370918,279.7621304,229.5729855,-4.6831665,339.01154,4.2187757
Shallow,0.0454103,0.300370288,0.474830357,304.1986161,270.6111984,206.426154,-6.0257874,162.11185,1.3883344
Shallow,0.0454769,0.314187463,0.355047672,306.8373276,283.2963631,232.0134517,-0.39793396,208.3414,1.5865891
Shallow,0.0455399,0.206611846,0.523477366,300.4524662,270.53765,156.2769646,-7.045395,202.69212,16.727345
Shallow,0.0455909,0.264506839,0.337395242,305.8631919,282.0821523,243.2484835,0.96343994,527.88477,6.7799807
Shallow,0.0456204,0.219868634,0.513424152,301.5154704,272.6425399,180.6782094,-8.3272705,260.15283,21.6502
Shallow,0.045625,0.325791456,0.332998265,303.6517329,287.7411986,256.329246,2.8073425,149.41502,9.829458
Shallow,0.045641,0.245578659,0.347073676,301.1223981,279.7702282,150.0014799,-0.49249268,129.25793,14.434021
Shallow,0.0456522,0.187207428,0.36538625,301.1565783,275.1574804,198.9270181,-5.240906,183.57565,3.038291
Shallow,0.0457447,0.181954476,0.366896082,307.1312773,275.47679,185.2891183,-1.9198914,179.78452,6.5518427
Shallow,0.0457955,0.281001228,0.330281552,304.694229,285.2741001,229.8874433,0.28121948,184.38794,0.16634342
Shallow,0.0458065,0.280930217,0.441193274,293.4076233,271.2298889,244.1125336,-15.361938,346.91492,32.60752
Shallow,0.0458287,0.246471312,0.347290562,304.8172777,279.8193748,233.0730379,6.0668335,703.05054,24.859243
Shallow,0.0458529,0.100002611,0.352435654,308.618116,282.3629897,218.5737971,-3.520813,384.3415,2.6688013
Shallow,0.0459733,0.17689708,0.341381667,303.9832809,286.6212929,225.5021236,0.08175659,142.10098,0.9310535
Shallow,0.0460163,0.357127553,0.289553878,301.9769031,279.8682429,150.0014799,8.506058,139.98897,6.5599375
Shallow,0.046017,0.251261467,0.328221618,301.9222148,280.5955795,155.4737299,1.3859863,130.85901,7.2822876
Shallow,0.0460209,0.256445919,0.408643397,298.032508,272.4001626,206.8397344,-2.7324739,0.47516108,6.8403134
Shallow,0.0460312,0.145841744,0.361194643,307.8319714,277.7132669,216.1538389,-3.5476074,270.62204,4.8543234
Shallow,0.0462634,0.224565486,0.39743891,299.7175919,273.8952396,231.6374695,0.8230461,2.6452456,0.607759
Shallow,0.0463485,0.192732369,0.313876324,304.4481316,281.8824641,150.0014799,-1.4077454,128.72044,1.3251334
Shallow,0.0463598,0.231125809,0.331835969,301.9700671,279.2598354,150.0014799,-0.17526245,129.209,0.9064245
Shallow,0.0464063,0.203272869,0.361990573,305.5589881,277.4904927,200.6497002,-1.0316467,181.62578,2.0611136
Shallow,0.0464109,0.06421364,0.319066167,312.6547976,279.0808784,204.5975133,-3.203888,192.24483,1.1378802
Shallow,0.0464722,0.069533287,0.332657813,300.0012876,276.0392584,229.5148791,-1.2556458,340.12982,1.3187164
Shallow,0.0464962,0.286545947,0.31822678,307.4047189,281.2615005,243.7851126,4.4434204,353.2117,2.4676836
Shallow,0.0466914,0.107638913,0.292610426,304.687393,281.6297937,203.6712299,-2.9334412,360.12167,3.6685517
Shallow,0.0467332,0.139556673,0.34961617,300.8387025,270.6576586,196.7258133,-11.566719,35.430355,12.3213
Shallow,0.0467883,0.177713647,0.348964731,301.1326522,278.453774,224.8048476,-1.0119019,352.40292,1.0320543
Shallow,0.0468178,0.116811122,0.314964542,300.2200408,280.6218547,237.1507358,0.20385742,392.313,0.77025294
Shallow,0.046881,0.274028459,0.484811173,304.1473458,270.7611728,205.8245825,-2.7615204,156.6223,5.008481
Shallow,0.0468837,0.032991059,0.24472725,312.7129039,286.727179,238.7845494,2.807539,26.632204,0.34779692
Shallow,0.0468884,0.089342967,0.33465564,305.4154312,279.4039811,231.1521107,-1.4730377,132.47954,0.9456254
